City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,81.68,broken clouds,-0.6,73.0833,Scoop Guest House
1,Saint-Philippe,RE,76.55,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
3,Poum,NC,79.12,overcast clouds,-20.2333,164.0167,Gîte kajeon
10,Cape Town,ZA,78.12,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
14,Samarai,PG,82.42,overcast clouds,-10.6167,150.6667,Nuli Sapi
15,Butaritari,KI,81.16,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
19,Rikitea,PF,78.48,light rain,-23.1203,-134.9692,People ThankYou
22,Bengkulu,ID,78.24,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
34,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
35,Terra Santa,BR,88.03,overcast clouds,-2.1042,-56.4869,Hotel Sarah
37,Namibe,AO,78.17,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
39,Rocha,UY,81.3,moderate rain,-34.4833,-54.3333,Hotel Arrarte
41,Hualmay,PE,75.94,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
42,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
45,Puerto Escondido,MX,85.21,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
47,Alugan,PH,77.85,overcast clouds,12.2188,125.4808,JM Lodge
54,Chisec,GT,86.23,clear sky,15.8167,-90.2833,Hotel Estancia De La Virgen
61,Ko Samui,TH,80.64,clear sky,9.5357,99.9357,The Passage
65,San Policarpo,PH,78.22,overcast clouds,12.1791,125.5072,Agapita M. Nicart
67,Emerald,AU,80.74,overcast clouds,-23.5333,148.1667,The Irish Village
68,Alice Springs,AU,80.15,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
69,Sola,VU,81.99,light rain,-13.8833,167.55,Leumerus Bungalows
74,Hermanus,ZA,77.9,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
76,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
77,Ende,ID,78.98,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
82,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
88,Alta Floresta,BR,82.69,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
89,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
90,Caravelas,BR,83.34,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
92,Mlandizi,TZ,78.12,overcast clouds,-6.7,38.7333,Amazon Lodge..
96,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
108,Presidente Medici,BR,87.13,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
109,Mount Gambier,AU,75.11,clear sky,-37.8333,140.7667,The Commodore
118,Honiara,SB,77.7,moderate rain,-9.4333,159.95,Heritage Park Hotel
119,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
