City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,81.68,68,82,14.99,broken clouds
1,Saint-Philippe,RE,-21.3585,55.7679,76.55,71,85,12.91,overcast clouds
2,Saint George,US,37.1041,-113.5841,47.35,51,0,6.91,clear sky
3,Poum,NC,-20.2333,164.0167,79.12,73,90,14.03,overcast clouds
4,Sistranda,NO,63.7256,8.834,36.9,77,100,15.17,light rain
5,Kyabe,TD,9.4515,18.9449,86.31,15,100,5.23,overcast clouds
6,Port Alfred,ZA,-33.5906,26.891,73.89,78,44,8.88,scattered clouds
7,Geraldton,AU,-28.7667,114.6,70.21,73,0,11.5,clear sky
8,Kodiak,US,57.79,-152.4072,28.62,70,43,7.74,scattered clouds
9,Hilo,US,19.7297,-155.09,68.25,76,64,5.01,broken clouds
10,Cape Town,ZA,-33.9258,18.4232,78.12,56,20,5.99,few clouds
11,Sitka,US,57.0531,-135.33,39.09,87,100,0.0,overcast clouds
12,Kaitangata,NZ,-46.2817,169.8464,48.52,92,16,4.92,few clouds
13,Shelburne,CA,44.0787,-80.2041,17.28,69,36,11.52,scattered clouds
14,Samarai,PG,-10.6167,150.6667,82.42,78,99,4.68,overcast clouds
15,Butaritari,KI,3.0707,172.7902,81.16,81,39,16.87,scattered clouds
16,Tokur,RU,53.1333,132.9,-21.53,100,85,2.64,overcast clouds
17,Barrow,US,71.2906,-156.7887,5.02,78,100,21.85,light snow
18,Narsaq,GL,60.9167,-46.05,18.81,83,100,11.59,overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,78.48,75,99,19.93,light rain
20,Hovd,MN,48.0056,91.6419,-7.83,77,94,4.92,overcast clouds
21,Lebu,CL,-37.6167,-73.65,65.82,65,0,13.98,clear sky
22,Bengkulu,ID,-3.8004,102.2655,78.24,83,100,3.76,overcast clouds
23,Enniscorthy,IE,52.5008,-6.5578,46.17,81,100,3.4,overcast clouds
24,Kapaa,US,22.0752,-159.319,70.59,72,64,10.38,broken clouds
25,Eldoret,KE,0.5204,35.2699,69.89,37,20,8.05,few clouds
26,Qaanaaq,GL,77.484,-69.3632,-9.42,52,63,7.87,broken clouds
27,Emporia,US,38.4039,-96.1817,21.51,33,62,11.68,broken clouds
28,Omsukchan,RU,62.5333,155.8,-25.85,99,97,3.13,overcast clouds
29,Ushuaia,AR,-54.8,-68.3,44.22,81,75,27.63,light intensity drizzle
30,Egvekinot,RU,66.3167,-179.1667,-28.7,80,39,2.77,scattered clouds
31,Coquimbo,CL,-29.9533,-71.3436,65.93,72,40,13.8,scattered clouds
32,Khatanga,RU,71.9667,102.5,7.9,83,91,17.43,overcast clouds
33,Chapais,CA,49.7834,-74.8492,-15.02,84,97,6.98,overcast clouds
34,Georgetown,MY,5.4112,100.3354,80.53,89,20,3.0,few clouds
35,Terra Santa,BR,-2.1042,-56.4869,88.03,56,100,5.57,overcast clouds
36,Yerbogachen,RU,61.2767,108.0108,-12.87,100,99,2.98,overcast clouds
37,Namibe,AO,-15.1961,12.1522,78.17,79,26,6.22,scattered clouds
38,Oudtshoorn,ZA,-33.5907,22.2014,66.56,79,59,9.78,broken clouds
39,Rocha,UY,-34.4833,-54.3333,81.3,76,100,4.34,moderate rain
40,Constitucion,CL,-35.3333,-72.4167,69.37,62,6,7.96,clear sky
41,Hualmay,PE,-11.0964,-77.6139,75.94,73,97,10.85,overcast clouds
42,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,65,0,26.46,clear sky
43,La Ronge,CA,55.1001,-105.2842,-21.75,69,75,3.44,broken clouds
44,Albany,US,42.6001,-73.9662,33.75,67,69,4.0,broken clouds
45,Puerto Escondido,MX,15.85,-97.0667,85.21,45,0,8.39,clear sky
46,Capreol,CA,46.706,-80.9225,-3.08,66,0,1.01,clear sky
47,Alugan,PH,12.2188,125.4808,77.85,89,100,12.82,overcast clouds
48,Nome,US,64.5011,-165.4064,-19.25,100,95,2.68,overcast clouds
49,Ibaiti,BR,-23.8486,-50.1878,90.27,36,98,2.53,overcast clouds
50,Simao,CN,22.7886,100.9748,55.08,81,57,0.65,broken clouds
51,Tasiilaq,GL,65.6145,-37.6368,6.1,91,31,6.04,scattered clouds
52,Punta Arenas,CL,-53.15,-70.9167,53.71,47,40,34.52,scattered clouds
53,Lompoc,US,34.6391,-120.4579,65.08,85,100,4.61,mist
54,Chisec,GT,15.8167,-90.2833,86.23,50,2,3.83,clear sky
55,Berdigestyakh,RU,62.0989,126.6992,-15.52,97,100,5.88,overcast clouds
56,Lavrentiya,RU,65.5833,-171.0,-17.28,88,100,6.42,overcast clouds
57,Nikolskoye,RU,59.7035,30.7861,26.49,98,26,4.34,scattered clouds
58,Ilulissat,GL,69.2167,-51.1,8.74,93,95,9.28,overcast clouds
59,Arman,RU,59.7,150.1667,-16.64,85,47,7.78,scattered clouds
60,Birao,CF,10.2849,22.7882,80.46,16,80,5.68,broken clouds
61,Ko Samui,TH,9.5357,99.9357,80.64,74,6,9.64,clear sky
62,Camacha,PT,33.0833,-16.3333,60.22,51,20,20.71,few clouds
63,Airai,TL,-8.9266,125.4092,61.3,87,90,2.77,overcast clouds
64,Mataura,NZ,-46.1927,168.8643,53.47,99,41,3.04,scattered clouds
65,San Policarpo,PH,12.1791,125.5072,78.22,88,100,13.62,overcast clouds
66,Palmer,US,42.1584,-72.3287,38.77,71,56,1.99,broken clouds
67,Emerald,AU,-23.5333,148.1667,80.74,61,100,9.22,overcast clouds
68,Alice Springs,AU,-23.7,133.8833,80.15,69,93,5.75,overcast clouds
69,Sola,VU,-13.8833,167.55,81.99,76,100,13.15,light rain
70,Kahului,US,20.8947,-156.47,70.86,92,3,7.0,clear sky
71,Busselton,AU,-33.65,115.3333,63.09,82,0,12.73,clear sky
72,Lethem,GY,3.3803,-59.7968,95.81,33,62,12.19,broken clouds
73,Ribeira Grande,PT,38.5167,-28.7,64.8,63,40,6.91,scattered clouds
74,Hermanus,ZA,-34.4187,19.2345,77.9,67,34,19.37,scattered clouds
75,Redmond,US,47.674,-122.1215,38.98,89,16,1.99,few clouds
76,San Cristobal,VE,7.7669,-72.225,75.38,41,63,5.32,broken clouds
77,Ende,ID,-8.8432,121.6623,78.98,88,100,4.23,overcast clouds
78,Manono,CD,-7.3,27.4167,71.69,92,100,2.15,light rain
79,Hobart,AU,-42.8794,147.3294,61.02,81,100,1.01,overcast clouds
80,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,100,20.71,light snow
81,Agadez,NE,19.75,10.25,62.37,18,0,9.15,clear sky
82,Puerto Ayora,EC,-0.7393,-90.3518,82.36,79,98,10.13,overcast clouds
83,Bredasdorp,ZA,-34.5322,20.0403,70.29,64,91,10.36,overcast clouds
84,Qaqortoq,GL,60.7167,-46.0333,21.4,79,100,13.04,overcast clouds
85,Esperance,AU,-33.8667,121.9,62.44,83,100,13.98,overcast clouds
86,Luderitz,NA,-26.6481,15.1594,80.89,54,0,26.15,clear sky
87,Kuna,US,43.4918,-116.4201,29.01,92,100,1.01,mist
88,Alta Floresta,BR,-9.8756,-56.0861,82.69,76,78,2.89,broken clouds
89,Port-Gentil,GA,-0.7193,8.7815,84.16,79,40,13.8,scattered clouds
90,Caravelas,BR,-17.7125,-39.2481,83.34,62,100,9.17,overcast clouds
91,Coihaique,CL,-45.5752,-72.0662,68.61,42,0,6.91,clear sky
92,Mlandizi,TZ,-6.7,38.7333,78.12,76,85,8.32,overcast clouds
93,New Norfolk,AU,-42.7826,147.0587,60.66,71,95,1.99,overcast clouds
94,Santa Maria,BR,-29.6842,-53.8069,90.7,66,20,8.05,few clouds
95,Norman Wells,CA,65.282,-126.8329,3.24,85,75,3.44,broken clouds
96,Bambous Virieux,MU,-20.3428,57.7575,77.25,73,75,14.97,light rain
97,San Quintin,MX,30.4833,-115.95,59.41,67,68,1.72,broken clouds
98,Taoudenni,ML,22.6783,-3.9836,79.9,12,100,6.67,overcast clouds
99,Evensk,RU,61.95,159.2333,-13.34,86,84,7.94,broken clouds
100,Kantemirovka,RU,49.7089,39.8592,12.85,98,100,3.22,overcast clouds
101,The Pas,CA,53.8251,-101.2541,-18.38,69,0,6.91,clear sky
102,Prachuap Khiri Khan,TH,12.2167,99.75,69.48,74,42,3.51,scattered clouds
103,Jamestown,US,42.097,-79.2353,22.32,58,100,5.01,overcast clouds
104,Bethel,US,41.3712,-73.414,39.18,75,86,3.0,overcast clouds
105,Westport,US,41.1415,-73.3579,40.96,72,99,5.01,overcast clouds
106,Haines Junction,CA,60.7522,-137.5108,24.75,86,99,3.44,overcast clouds
107,Kruisfontein,ZA,-34.0033,24.7314,69.89,76,99,9.66,overcast clouds
108,Presidente Medici,BR,-11.1753,-61.9014,87.13,67,100,2.28,overcast clouds
109,Mount Gambier,AU,-37.8333,140.7667,75.11,35,10,8.05,clear sky
110,Flinders,AU,-34.5833,150.8552,69.08,78,5,3.53,clear sky
111,Oktyabrskoye,RU,43.0645,44.7417,28.54,92,75,8.95,broken clouds
112,Vostok,RU,46.4856,135.8833,-7.33,100,99,3.96,overcast clouds
113,Limbdi,IN,22.5667,71.8,62.33,39,0,9.31,clear sky
114,Ahipara,NZ,-35.1667,173.1667,67.23,96,87,6.13,overcast clouds
115,Yellowknife,CA,62.456,-114.3525,4.41,92,100,3.44,light snow
116,Wanaka,NZ,-44.7,169.15,53.11,81,20,1.99,few clouds
117,Guerrero Negro,MX,27.9769,-114.0611,63.18,57,45,6.55,scattered clouds
118,Honiara,SB,-9.4333,159.95,77.7,90,100,5.01,moderate rain
119,Vaini,TO,-21.2,-175.2,78.96,89,40,6.91,scattered clouds
120,Beitbridge,ZW,-22.2167,30.0,81.86,53,96,20.62,overcast clouds
121,Atuona,PF,-9.8,-139.0333,77.86,76,23,18.72,light rain
122,Cidreira,BR,-30.1811,-50.2056,82.35,69,76,15.97,broken clouds
123,Ladybrand,ZA,-29.1945,27.4574,72.81,45,63,5.68,broken clouds
124,Virginia Beach,US,36.8529,-75.978,53.06,61,100,1.99,overcast clouds
125,Sananduva,BR,-27.9497,-51.8067,100.98,25,9,1.61,clear sky
126,Septemvri,BG,42.2167,24.1,26.01,55,8,6.29,clear sky
127,Avarua,CK,-21.2078,-159.775,77.05,94,75,5.75,broken clouds
128,Mar Del Plata,AR,-38.0023,-57.5575,82.42,84,75,18.01,broken clouds
129,Katsuura,JP,35.1333,140.3,44.11,88,100,5.7,overcast clouds
130,Carnarvon,AU,-24.8667,113.6333,75.27,78,0,18.41,clear sky
131,Melfi,IT,40.9965,15.6514,34.48,67,4,4.29,clear sky
132,Nanortalik,GL,60.1432,-45.2371,24.26,73,100,8.61,overcast clouds
133,Hashtrud,IR,37.4779,47.0508,6.58,96,12,1.63,few clouds
134,Fortuna,US,40.5982,-124.1573,37.74,63,0,2.93,clear sky
135,Iqaluit,CA,63.7506,-68.5145,-16.87,76,100,8.05,overcast clouds
136,Norton Shores,US,43.1689,-86.2639,20.39,68,100,4.0,overcast clouds
137,Moose Factory,CA,51.2585,-80.6094,-14.73,87,93,7.34,overcast clouds
138,Kavaratti,IN,10.5669,72.642,78.21,55,56,6.62,broken clouds
139,Basco,PH,20.4487,121.9702,74.57,80,98,23.87,overcast clouds
140,La Paz,BO,-16.5,-68.15,58.98,67,75,10.36,broken clouds
141,Bluff,NZ,-46.6,168.3333,53.8,91,69,8.01,broken clouds
142,Lumberton,US,34.6182,-79.0086,53.94,56,100,6.71,overcast clouds
143,Shimoda,JP,34.6667,138.95,41.11,88,100,7.92,overcast clouds
144,Kutum,SD,14.2,24.6667,71.04,17,71,7.07,broken clouds
145,Weston,US,26.1004,-80.3998,73.02,59,99,3.0,overcast clouds
146,Codrington,AU,-38.2667,141.9667,68.9,57,28,9.86,scattered clouds
147,Port Elizabeth,ZA,-33.918,25.5701,72.1,88,75,5.75,broken clouds
148,Hasaki,JP,35.7333,140.8333,39.6,88,100,12.68,overcast clouds
149,Tigre,AR,-34.426,-58.5796,88.25,71,97,1.99,light rain
150,Margate,GB,51.3813,1.3862,38.7,82,84,1.99,broken clouds
151,Upernavik,GL,72.7868,-56.1549,10.85,83,100,22.24,overcast clouds
152,Saquena,PE,-4.6667,-73.5167,79.39,88,100,2.95,moderate rain
153,Lagoa,PT,39.05,-27.9833,58.8,75,72,5.5,broken clouds
154,Saskylakh,RU,71.9167,114.0833,13.42,88,100,17.29,overcast clouds
