City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2022-01-24 00:43:04,22.0752,-159.319,79.48,71,20,1.99
1,Provideniya,RU,2022-01-24 00:43:04,64.3833,-173.3,14.11,79,100,8.95
2,Champaign,US,2022-01-24 00:43:05,40.1334,-88.2001,22.71,67,0,1.01
3,Hermanus,ZA,2022-01-24 00:43:05,-34.4187,19.2345,67.89,91,97,6.91
4,San Patricio,US,2022-01-24 00:43:06,28.017,-97.5169,57.88,47,100,3.36
5,Bredasdorp,ZA,2022-01-24 00:43:06,-34.5322,20.0403,66.27,88,28,8.93
6,Bo Phloi,TH,2022-01-24 00:43:06,14.3236,99.5161,76.32,69,50,3.2
7,Ortigueira,BR,2022-01-24 00:43:07,-24.2083,-50.9494,66.67,99,100,1.03
8,Hobart,AU,2022-01-24 00:40:02,-42.8794,147.3294,79.27,65,100,10.36
9,Arkhara,RU,2022-01-24 00:43:07,49.4212,130.0842,-14.06,100,100,1.95
10,Ilula,TZ,2022-01-24 00:43:07,-7.6766,36.0366,60.3,95,100,3.09
11,Hilo,US,2022-01-24 00:43:08,19.7297,-155.09,79.11,70,40,8.05
12,Cape Town,ZA,2022-01-24 00:43:08,-33.9258,18.4232,69.28,86,75,9.22
13,Ushuaia,AR,2022-01-24 00:43:08,-54.8,-68.3,51.46,76,75,10.36
14,Hithadhoo,MV,2022-01-24 00:43:09,-0.6,73.0833,82.29,66,100,15.77
15,Barrow,US,2022-01-24 00:43:09,71.2906,-156.7887,1.42,85,100,5.75
16,Vila Franca Do Campo,PT,2022-01-24 00:43:09,37.7167,-25.4333,59.2,71,25,5.55
17,Avarua,CK,2022-01-24 00:43:10,-21.2078,-159.775,80.65,94,100,13.8
18,Senno,RU,2022-01-24 00:43:10,59.5336,33.9167,13.86,92,80,8.88
19,Grand-Santi,GF,2022-01-24 00:43:11,4.25,-54.3833,71.76,99,100,2.35
20,Narsaq,GL,2022-01-24 00:43:11,60.9167,-46.05,23.22,69,100,7.81
21,Balkhash,KZ,2022-01-24 00:43:11,46.844,74.9804,10.02,81,100,7.67
22,Tocopilla,CL,2022-01-24 00:43:12,-22.092,-70.1979,69.75,78,82,10.13
23,San Juan,AR,2022-01-24 00:43:12,-31.5375,-68.5364,86.85,31,100,9.95
24,Batagay-Alyta,RU,2022-01-24 00:43:12,67.8006,130.4114,-12.3,91,100,0.96
25,Praia,CV,2022-01-24 00:43:13,14.9215,-23.5087,73.94,78,75,14.97
26,Powell River,CA,2022-01-24 00:43:13,49.8496,-124.5361,40.08,100,100,3.44
27,Olafsvik,IS,2022-01-24 00:43:13,64.8945,-23.7142,28.89,71,100,10.04
28,Qaanaaq,GL,2022-01-24 00:43:14,77.484,-69.3632,-4.23,76,100,4.21
29,Dikson,RU,2022-01-24 00:43:14,73.5069,80.5464,-4.52,97,100,21.52
30,Carnarvon,AU,2022-01-24 00:43:14,-24.8667,113.6333,84.27,51,0,23.02
